Parameter,Year,Amount,GDP,Inflation
Revenue Receipts,2021,2169905,3.16727E+12,5.131407472
Tax Revenue (Net to Centre),2021,1804793,3.16727E+12,5.131407472
Non Tax Revenue,2021,365112,3.16727E+12,5.131407472
Capital Receipts ¹,2021,1623896,3.16727E+12,5.131407472
Recovery of Loans,2021,24737,3.16727E+12,5.131407472
Other Receipts,2021,14638,3.16727E+12,5.131407472
Borrowings and Other Liabilities²,2021,1584521,3.16727E+12,5.131407472
Total Receipts (1+4),2021,3793801,3.16727E+12,5.131407472
Total Expenditure (10+13),2021,3793801,3.16727E+12,5.131407472
On Revenue Account of which,2021,3200926,3.16727E+12,5.131407472
Interest Payments,2021,805499,3.16727E+12,5.131407472
Grants in Aid for creation of capital assests,2021,242646,3.16727E+12,5.131407472
On Capital Account,2021,592874,3.16727E+12,5.131407472
Effective Capital Expenditure (12+13)³,2021,835520,3.16727E+12,5.131407472
 15. Revenue Deficit (10-1),2021,1031021,3.16727E+12,5.131407472
Revenue Deficit : percentage of GDP,2021,4.4,3.16727E+12,5.131407472
 16. Effective Revenue Deficit  (15-12),2021,788375,3.16727E+12,5.131407472
 Effective Revenue Deficit  : percentage of GDP,2021,3.3,3.16727E+12,5.131407472
 17. Fiscal Deficit  [9-(1+5+6)],2021,1584521,3.16727E+12,5.131407472
Fiscal Deficit : percentage of GDP,2021,6.7,3.16727E+12,5.131407472
 18. Primary Deficit (17-11),2021,789022,3.16727E+12,5.131407472
Primary Deficit : percentage of GDP,2021,3.3,3.16727E+12,5.131407472
Revenue Receipts,2022,2204422,3.34611E+12,6.699034141
Tax Revenue (Net to Centre),2022,1934771,3.34611E+12,6.699034141
Non Tax Revenue,2022,269651,3.34611E+12,6.699034141
Capital Receipts ¹,2022,1740487,3.34611E+12,6.699034141
Recovery of Loans,2022,14291,3.34611E+12,6.699034141
Other Receipts,2022,65000,3.34611E+12,6.699034141
Borrowings and Other Liabilities²,2022,1661196,3.34611E+12,6.699034141
Total Receipts (1+4),2022,3944909,3.34611E+12,6.699034141
Total Expenditure (10+13),2022,3944909,3.34611E+12,6.699034141
On Revenue Account of which,2022,3194663,3.34611E+12,6.699034141
Interest Payments,2022,940651,3.34611E+12,6.699034141
Grants in Aid for creation of capital assests,2022,317643,3.34611E+12,6.699034141
On Capital Account,2022,750246,3.34611E+12,6.699034141
Effective Capital Expenditure (12+13)³,2022,1067889,3.34611E+12,6.699034141
 15. Revenue Deficit (10-1),2022,990241,3.34611E+12,6.699034141
Revenue Deficit : percentage of GDP,2022,3.8,3.34611E+12,6.699034141
 16. Effective Revenue Deficit  (15-12),2022,672598,3.34611E+12,6.699034141
 Effective Revenue Deficit  : percentage of GDP,2022,2.6,3.34611E+12,6.699034141
 17. Fiscal Deficit  [9-(1+5+6)],2022,1661196,3.34611E+12,6.699034141
Fiscal Deficit : percentage of GDP,2022,6.4,3.34611E+12,6.699034141
 18. Primary Deficit (17-11),2022,720545,3.34611E+12,6.699034141
Primary Deficit : percentage of GDP,2022,2.8,3.34611E+12,6.699034141
Revenue Receipts,2022,2348413,3.34611E+12,6.699034141
Tax Revenue (Net to Centre),2022,2086662,3.34611E+12,6.699034141
Non Tax Revenue,2022,261751,3.34611E+12,6.699034141
Capital Receipts ¹,2022,1838819,3.34611E+12,6.699034141
Recovery of Loans,2022,23500,3.34611E+12,6.699034141
Other Receipts,2022,60000,3.34611E+12,6.699034141
Borrowings and Other Liabilities²,2022,1755319,3.34611E+12,6.699034141
Total Receipts (1+4),2022,4187232,3.34611E+12,6.699034141
Total Expenditure (10+13),2022,4187232,3.34611E+12,6.699034141
On Revenue Account of which,2022,3458959,3.34611E+12,6.699034141
Interest Payments,2022,940651,3.34611E+12,6.699034141
Grants in Aid for creation of capital assests,2022,325588,3.34611E+12,6.699034141
On Capital Account,2022,728274,3.34611E+12,6.699034141
Effective Capital Expenditure (12+13)³,2022,1053862,3.34611E+12,6.699034141
 15. Revenue Deficit (10-1),2022,1110546,3.34611E+12,6.699034141
Revenue Deficit : percentage of GDP,2022,4.1,3.34611E+12,6.699034141
 16. Effective Revenue Deficit  (15-12),2022,784958,3.34611E+12,6.699034141
 Effective Revenue Deficit  : percentage of GDP,2022,2.9,3.34611E+12,6.699034141
 17. Fiscal Deficit  [9-(1+5+6)],2022,1755319,3.34611E+12,6.699034141
Fiscal Deficit : percentage of GDP,2022,6.4,3.34611E+12,6.699034141
 18. Primary Deficit (17-11),2022,814668,3.34611E+12,6.699034141
Primary Deficit : percentage of GDP,2022,3,3.34611E+12,6.699034141
Revenue Receipts,2023,2632281,3.63849E+12,5.649143189
Tax Revenue (Net to Centre),2023,2330631,3.63849E+12,5.649143189
Non Tax Revenue,2023,301650,3.63849E+12,5.649143189
Capital Receipts ¹,2023,1870816,3.63849E+12,5.649143189
Recovery of Loans,2023,23000,3.63849E+12,5.649143189
Other Receipts,2023,61000,3.63849E+12,5.649143189
Borrowings and Other Liabilities²,2023,1786816,3.63849E+12,5.649143189
Total Receipts (1+4),2023,4503097,3.63849E+12,5.649143189
Total Expenditure (10+13),2023,4503097,3.63849E+12,5.649143189
On Revenue Account of which,2023,3502136,3.63849E+12,5.649143189
Interest Payments,2023,1079971,3.63849E+12,5.649143189
Grants in Aid for creation of capital assests,2023,369988,3.63849E+12,5.649143189
On Capital Account,2023,1000961,3.63849E+12,5.649143189
Effective Capital Expenditure (12+13)³,2023,1370949,3.63849E+12,5.649143189
 15. Revenue Deficit (10-1),2023,869855,3.63849E+12,5.649143189
Revenue Deficit : percentage of GDP,2023,2.9,3.63849E+12,5.649143189
 16. Effective Revenue Deficit  (15-12),2023,499867,3.63849E+12,5.649143189
 Effective Revenue Deficit  : percentage of GDP,2023,1.7,3.63849E+12,5.649143189
 17. Fiscal Deficit  [9-(1+5+6)],2023,1786816,3.63849E+12,5.649143189
Fiscal Deficit : percentage of GDP,2023,5.9,3.63849E+12,5.649143189
 18. Primary Deficit (17-11),2023,706845,3.63849E+12,5.649143189
Primary Deficit : percentage of GDP,2023,203,3.63849E+12,5.649143189
