SI. No.        Parameters,2021-2022 Actuals,2022-2023 BR,2022-2023 RE,2023-2024 BE
1. Revenue Receipts,2169905,2204422,2348413,2632281
2. Tax Revenue (Net to Centre),1804793,1934771,2086662,2330631
3. Non Tax Revenue,365112,269651,261751,301650
4. Capital Receipts ¹,1623896,1740487,1838819,1870816
5. Recovery of Loans,24737,14291,23500,23000
6. Other Receipts,14638,65000,60000,61000
7. Borrowings and Other Liabilities²,1584521,1661196,1755319,1786816
8. Total Receipts (1+4),3793801,3944909,4187232,4503097
9. Total Expenditure (10+13),3793801,3944909,4187232,4503097
10. On Revenue Account of which,3200926,3194663,3458959,3502136
11. Interest Payments,805499,940651,940651,1079971
12. Grants in Aid for creation of capital assests,242646,317643,325588,369988
13. On Capital Account,592874,750246,728274,1000961
14. Effective Capital Expenditure (12+13)³,835520,1067889,1053862,1370949
 15. Revenue Deficit (10-1),1031021,990241,1110546,869855
Revenue Deficit : percentage of GDP,4.4,3.8,4.1,2.9
 16. Effective Revenue Deficit  (15-12),788375,672598,784958,499867
 Effective Revenue Deficit  : percentage of GDP,3.3,2.6,2.9,1.7
 17. Fiscal Deficit  [9-(1+5+6)],1584521,1661196,1755319,1786816
Fiscal Deficit : percentage of GDP,6.7,6.4,6.4,5.9
 18. Primary Deficit (17-11),789022,720545,814668,706845
Primary Deficit : percentage of GDP,3.3,2.8,3,203
