Sl. No.,CPSEs,Sub-CPSEs,2017-18 - Actual,2018-19 - Actual,2019-20 - Actual,2020-21 - Actual,2021-22 - Actual,2022-23 - BE,2022-23 - Actual,2022-23 - % Achievement over BE (8/7*100),2023-24 - BE
1,A. CPSE-wise Internal & Extra Budget Resources,Oil & Natural Gas Co. Ltd.,72901.58,29449.84,29538.46,26859.27,27741.26,29950,30208,100.86,30125
2,A. CPSE-wise Internal & Extra Budget Resources,ONGC Videsh Ltd.,6797.98,5827.13,5434.87,5733.98,4680.73,8180,2703.83,33.05,3229.05
3,A. CPSE-wise Internal & Extra Budget Resources,Oil India Ltd.,8154.44,3180.81,4247.21,13331.93,4366.52,4302,5534.42,128.65,4896
4,A. CPSE-wise Internal & Extra Budget Resources,Gail Authority India Ltd.,3680.46,7142.65,4562.02,6253.48,7148.3,7500,9099.1,121.32,7750
5,A. CPSE-wise Internal & Extra Budget Resources,Indian Oil Corporation Ltd.,21457.2,28207.77,31420.79,28684.35,30391,28549,37287.04,130.61,30394.65
6,A. CPSE-wise Internal & Extra Budget Resources,Bharat Petroleum Corporation Limited,8997.76,10992.8,11063.68,11064.39,11860.16,10000,12120.33,121.2,10000
7,A. CPSE-wise Internal & Extra Budget Resources,Hindustan Petroleum Corporation Ltd.,7209.72,12437.87,16311.24,14700.29,16770.87,14500,14084.03,97.13,10210
8,A. CPSE-wise Internal & Extra Budget Resources,Mangalore Refinery & Petrochemicals Ltd,1281.31,1072.32,1317.92,2178.88,674.25,815,625.19,76.71,820
9,A. CPSE-wise Internal & Extra Budget Resources,Chennai Petroleum Corporation Ltd.,1020.32,1313.6,960.6,583.13,636.33,584,638.18,109.28,548
10,A. CPSE-wise Internal & Extra Budget Resources,Numaligarh Refinery Ltd.,419.93,464.81,529.08,1028.99,3605.41,6774,6596.4,97.38,8290
11,A. CPSE-wise Internal & Extra Budget Resources,Balmer Lawrie & Co. Ltd.,83.18,132.1,46.31,42.94,22.49,40,51.71,129.28,40
12,A. CPSE-wise Internal & Extra Budget Resources,Engineers India Ltd.,NA,87,170.62,732.74,70.26,160,62.27,38.92,98
13,Total (I & EBR),Total (I & EBR),132003.88,100308.7,105602.8,111194.36,107967.58,111354,119010.5,106.88,106400.7
14,B. Sector-wise Internal & Extra Budget Resources,Exploration & Production Sector,95455.42,49612.69,44768.97,52994.15,46375.95,50535.97,48273.05,95.52,46757.28
15,B. Sector-wise Internal & Extra Budget Resources,Refining & Marketing Sector,32793.59,46990.02,56668.31,51446.01,54948.23,53876.35,61806.49,114.72,52749.31
16,B. Sector-wise Internal & Extra Budget Resources,Petro-Chemicals Sector,3671.69,3486.89,3948.59,5978.53,6550.71,6741.68,8816.98,130.78,6756.11
17,B. Sector-wise Internal & Extra Budget Resources,Engineering Sector,83.18,219.1,216.93,775.68,92.75,200,113.98,56.99,138
18,Total (I&EBR),Total (I&EBR),132003.88,100308.7,105602.8,111194.36,107967.64,111354,119010.5,106.88,106400.7
19,B. Sector-wise Internal & Extra Budget Resources,Gross Budgetary Support (GBS),400,1206.6,1552.11,728.03,589.55,0,245,NA,500
20,Total CAPEX (18+19),Total CAPEX (18+19),132403.88,101515.3,107154.91,111922.39,108557.2,111354,119255.5,107.1,106900.7
